sample,gene,drug_class,gene_family,mechanism,all_mapped_reads,avg_pct_coverage
SRR12619551,srmB,macrolide antibiotic,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,antibiotic target protection,4.0,4.23
SRR12619551,lsaE,lincosamide antibiotic,lsa-type ABC-F protein,antibiotic target protection,1.0,9.49
SRR12619551,lsaE,streptogramin antibiotic,lsa-type ABC-F protein,antibiotic target protection,1.0,9.49
SRR12619551,lsaE,pleuromutilin antibiotic,lsa-type ABC-F protein,antibiotic target protection,1.0,9.49
SRR12619551,rgt1438,rifamycin antibiotic,rifampin glycosyltransferase,antibiotic inactivation,2.0,12.06
SRR12619551,smeD,macrolide antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,2.0,3.38
SRR12619551,smeD,fluoroquinolone antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,2.0,3.38
SRR12619551,smeD,tetracycline antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,2.0,3.38
SRR12619551,smeD,phenicol antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,2.0,3.38
SRR12619551,amrB,macrolide antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,8.0,4.05
SRR12619551,amrB,aminoglycoside antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,8.0,4.05
SRR12619551,lnuB,lincosamide antibiotic,lincosamide nucleotidyltransferase (LNU),antibiotic inactivation,1.0,12.94
SRR12619551,tetA(P),tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,antibiotic efflux,2.0,22.88
SRR12619551,mdtB,aminocoumarin antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,2.0,1.31
SRR12619551,smeE,macrolide antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,4.0,5.44
SRR12619551,smeE,fluoroquinolone antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,4.0,5.44
SRR12619551,smeE,tetracycline antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,4.0,5.44
SRR12619551,smeE,phenicol antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,4.0,5.44
