ARO Term,Drug Class
Streptomyces lividans cmlR,phenicol antibiotic
amrB,macrolide antibiotic; aminoglycoside antibiotic
AAC(6')-Isa,aminoglycoside antibiotic
rphA,rifamycin antibiotic
ceoB,fluoroquinolone antibiotic; aminoglycoside antibiotic
AcrF,fluoroquinolone antibiotic; cephalosporin; penicillin beta-lactam
smeB,aminoglycoside antibiotic; cephalosporin; penicillin beta-lactam
tlrC,macrolide antibiotic; lincosamide antibiotic
Pseudomonas aeruginosa CpxR,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic
MexF,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic
MuxB,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic
MuxC,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic
AxyY,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin
rpoB2,rifamycin antibiotic
Bifidobacterium bifidum ileS conferring resistance to mupirocin,mupirocin-like antibiotic
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin,rifamycin antibiotic
MexI,fluoroquinolone antibiotic; disinfecting agents and antiseptics
vanR gene in vanO cluster,glycopeptide antibiotic
vanS gene in vanO cluster,glycopeptide antibiotic
Streptomyces venezuelae rox,rifamycin antibiotic
Nocardia farcinica rox,rifamycin antibiotic
HelR,rifamycin antibiotic
AAC(3)-VIIIa,aminoglycoside antibiotic
novA,aminocoumarin antibiotic
amrA,macrolide antibiotic; aminoglycoside antibiotic
arnA,peptide antibiotic
gimA,macrolide antibiotic
MexK,macrolide antibiotic; tetracycline antibiotic
FAR-1,penicillin beta-lactam
rphB,rifamycin antibiotic
BCL-1,penicillin beta-lactam
ADC-202,cephalosporin
ACT-53,carbapenem; cephalosporin; penicillin beta-lactam
ALG11-1,carbapenem
vanO,glycopeptide antibiotic
BJP-1,carbapenem
mexN,phenicol antibiotic
AST-1,cephalosporin; penicillin beta-lactam
DHT2-1,carbapenem
rgt1438,rifamycin antibiotic
mexX,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics
AAC(3)-IIIb,aminoglycoside antibiotic
iri,rifamycin antibiotic
H-NS,macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; penicillin beta-lactam; tetracycline antibiotic
smeR,aminoglycoside antibiotic; cephalosporin; penicillin beta-lactam
MexB,
TriC,disinfecting agents and antiseptics
arr-1,rifamycin antibiotic
ParS,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics
ALG6-1,carbapenem
PEN-A10,penicillin beta-lactam
PEN-A1,penicillin beta-lactam
lnuA,lincosamide antibiotic
