gene,manure_mean,soil_mean,U_stat,p_value,p_adj_fdr,drug_class
APH(3'')-Ib,4.5,0.0,36.0,0.002268131888297655,0.027301095864451334,aminoglycoside antibiotic
aadS,4.333333333333333,0.0,36.0,0.002671274611601154,0.027301095864451334,aminoglycoside antibiotic
mef(B),5.0,0.0,36.0,0.002671274611601154,0.027301095864451334,macrolide antibiotic
ceoB,0.0,12.333333333333334,0.0,0.0027245317909194047,0.027301095864451334,fluoroquinolone antibiotic; aminoglycoside antibiotic
ErmF,7.0,0.0,36.0,0.0027245317909194047,0.027301095864451334,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic
EstT,31.833333333333332,0.0,36.0,0.0027245317909194047,0.027301095864451334,macrolide antibiotic
vanR gene in vanO cluster,0.0,14.5,0.0,0.0027245317909194047,0.027301095864451334,glycopeptide antibiotic
rphA,0.0,14.166666666666666,0.0,0.0027245317909194047,0.027301095864451334,rifamycin antibiotic
tet(36),66.66666666666667,0.0,36.0,0.0027245317909194047,0.027301095864451334,tetracycline antibiotic
LnuH,15.5,0.0,36.0,0.00277843011009903,0.027301095864451334,lincosamide antibiotic
lnuG,14.166666666666666,0.0,36.0,0.00277843011009903,0.027301095864451334,lincosamide antibiotic
lnuA,8.5,0.0,36.0,0.00277843011009903,0.027301095864451334,lincosamide antibiotic
mel,13.833333333333334,0.0,36.0,0.00277843011009903,0.027301095864451334,macrolide antibiotic; streptogramin antibiotic
lnuB,25.0,0.0,36.0,0.00277843011009903,0.027301095864451334,lincosamide antibiotic
ANT(6)-Ia,17.333333333333332,0.0,36.0,0.00277843011009903,0.027301095864451334,aminoglycoside antibiotic
HelR,0.0,17.166666666666668,0.0,0.00277843011009903,0.027301095864451334,rifamycin antibiotic
tet(T),103.83333333333333,0.0,36.0,0.00277843011009903,0.027301095864451334,tetracycline antibiotic
tet(44),32.333333333333336,0.0,36.0,0.00277843011009903,0.027301095864451334,tetracycline antibiotic
lsaE,34.833333333333336,0.0,36.0,0.00277843011009903,0.027301095864451334,lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic
tet(Q),48.333333333333336,0.0,36.0,0.00277843011009903,0.027301095864451334,tetracycline antibiotic
tet(M),147.5,0.0,36.0,0.00277843011009903,0.027301095864451334,tetracycline antibiotic
tet(W),25.833333333333332,0.0,36.0,0.00277843011009903,0.027301095864451334,tetracycline antibiotic
sul2,9.166666666666666,0.0,36.0,0.00277843011009903,0.027301095864451334,sulfonamide antibiotic
MuxB,1.1666666666666667,12.833333333333334,1.0,0.006054660145274101,0.057014716367997785,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic
tet(33),2.8333333333333335,0.0,33.0,0.009002799524086667,0.06212881789661612,tetracycline antibiotic
APH(6)-Id,2.3333333333333335,0.0,33.0,0.009465077138444201,0.06212881789661612,aminoglycoside antibiotic
aadA,4.0,0.0,33.0,0.009465077138444201,0.06212881789661612,aminoglycoside antibiotic
tetB(P),4.333333333333333,0.0,33.0,0.009465077138444201,0.06212881789661612,tetracycline antibiotic
tet(O),11.5,0.0,33.0,0.009621719585759133,0.06212881789661612,tetracycline antibiotic
sul1,6.666666666666667,0.0,33.0,0.009621719585759133,0.06212881789661612,sulfonamide antibiotic
tet(H),10.333333333333334,0.0,33.0,0.009621719585759133,0.06212881789661612,tetracycline antibiotic
tet(O/M/O),19.166666666666668,0.0,33.0,0.009621719585759133,0.06212881789661612,tetracycline antibiotic
tetA(P),13.0,0.0,33.0,0.009621719585759133,0.06212881789661612,tetracycline antibiotic
tet(X6),3.5,0.0,33.0,0.009621719585759133,0.06212881789661612,tetracycline antibiotic
cfrE,4.666666666666667,0.0,33.0,0.009621719585759133,0.06212881789661612,lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic
Streptomyces venezuelae rox,0.3333333333333333,3.6666666666666665,3.5,0.016279573377278176,0.10219954397957966,rifamycin antibiotic
OXA-347,2.3333333333333335,0.0,30.0,0.026885511853408067,0.11686526676769643,penicillin beta-lactam
APH(3')-Ia,1.1666666666666667,0.0,30.0,0.026885511853408067,0.11686526676769643,aminoglycoside antibiotic
ANT(9)-Ia,2.3333333333333335,0.0,30.0,0.02765949214637323,0.11686526676769643,aminoglycoside antibiotic
aadA9,1.3333333333333333,0.0,30.0,0.02804919058166734,0.11686526676769643,aminoglycoside antibiotic
MuxC,0.0,4.833333333333333,6.0,0.02804919058166734,0.11686526676769643,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic
tet(31),3.0,0.0,30.0,0.02804919058166734,0.11686526676769643,tetracycline antibiotic
lnuD,2.3333333333333335,0.0,30.0,0.02804919058166734,0.11686526676769643,lincosamide antibiotic
tet(S),2.3333333333333335,0.0,30.0,0.02804919058166734,0.11686526676769643,tetracycline antibiotic
ErmQ,3.0,0.0,30.0,0.02804919058166734,0.11686526676769643,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic
23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),9.666666666666666,0.0,30.0,0.028440662266474792,0.11686526676769643,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic
tet(W/N/W),5.5,0.0,30.0,0.028440662266474792,0.11686526676769643,tetracycline antibiotic
qacEdelta1,1.6666666666666667,0.0,30.0,0.028440662266474792,0.11686526676769643,disinfecting agents and antiseptics
SAT-4,4.5,0.0,30.0,0.028440662266474792,0.11686526676769643,nucleoside antibiotic
mphB,6.5,0.0,30.0,0.028440662266474792,0.11686526676769643,macrolide antibiotic
tet(Z),12.0,0.0,30.0,0.028440662266474792,0.11686526676769643,tetracycline antibiotic
tet(40),7.0,0.0,30.0,0.028440662266474792,0.11686526676769643,tetracycline antibiotic
ANT(6)-Ib,12.166666666666666,0.0,30.0,0.028440662266474792,0.11686526676769643,aminoglycoside antibiotic
LnuP,3.3333333333333335,0.0,30.0,0.028440662266474792,0.11686526676769643,lincosamide antibiotic
tet(L),4.166666666666667,0.0,30.0,0.028440662266474792,0.11686526676769643,tetracycline antibiotic
IND-17,0.5,0.0,27.0,0.07053284913489208,0.20907816521111303,carbapenem
Erm(33),9.166666666666666,0.0,27.0,0.07313979965890892,0.20907816521111303,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic
Erm(35),7.666666666666667,0.0,27.0,0.07313979965890892,0.20907816521111303,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic
ErmG,1.3333333333333333,0.0,27.0,0.07313979965890892,0.20907816521111303,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic
ErmA,1.1666666666666667,0.0,27.0,0.07313979965890892,0.20907816521111303,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic
tet(X),0.8333333333333334,0.0,27.0,0.07313979965890892,0.20907816521111303,glycylcycline; tetracycline antibiotic
aadA5,0.8333333333333334,0.0,27.0,0.07313979965890892,0.20907816521111303,aminoglycoside antibiotic
mecI,0.6666666666666666,0.0,27.0,0.07313979965890892,0.20907816521111303,penicillin beta-lactam
SAT-2,0.8333333333333334,0.0,27.0,0.07313979965890892,0.20907816521111303,nucleoside antibiotic
aad(6),4.333333333333333,0.0,27.0,0.0740099699862347,0.20907816521111303,aminoglycoside antibiotic
ANT(4')-Ia,8.0,0.0,27.0,0.0740099699862347,0.20907816521111303,aminoglycoside antibiotic
APH(2'')-IIIa,2.6666666666666665,0.0,27.0,0.0740099699862347,0.20907816521111303,aminoglycoside antibiotic
APH(3')-IIIa,10.166666666666666,0.0,27.0,0.0740099699862347,0.20907816521111303,aminoglycoside antibiotic
ErmB,10.833333333333334,0.0,27.0,0.0740099699862347,0.20907816521111303,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic
Erm(47),6.333333333333333,0.0,27.0,0.0740099699862347,0.20907816521111303,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic
ErmC,9.0,0.0,27.0,0.0740099699862347,0.20907816521111303,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic
cfrC,3.8333333333333335,0.0,27.0,0.0740099699862347,0.20907816521111303,lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic; phenicol antibiotic
vanS gene in vanO cluster,0.0,3.6666666666666665,9.0,0.0740099699862347,0.20907816521111303,glycopeptide antibiotic
cmx,11.333333333333334,0.0,27.0,0.0740099699862347,0.20907816521111303,phenicol antibiotic
linG,1.5,0.0,27.0,0.0740099699862347,0.20907816521111303,lincosamide antibiotic
MexW,3.3333333333333335,0.0,27.0,0.0740099699862347,0.20907816521111303,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics
vgaC,8.5,0.0,27.0,0.0740099699862347,0.20907816521111303,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic
vgaE,4.166666666666667,0.0,27.0,0.0740099699862347,0.20907816521111303,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic
lnuC,7.166666666666667,0.0,27.0,0.0740099699862347,0.20907816521111303,lincosamide antibiotic
dfrD,1.1666666666666667,0.0,27.0,0.0740099699862347,0.20907816521111303,diaminopyrimidine antibiotic
FosK,0.6666666666666666,0.0,24.0,0.17394501679990915,0.36774036903328594,phosphonic acid antibiotic
WUS-1,0.3333333333333333,0.0,24.0,0.17394501679990915,0.36774036903328594,carbapenem; penicillin beta-lactam
ANT(9)-Ib,1.3333333333333333,0.0,24.0,0.17394501679990915,0.36774036903328594,aminoglycoside antibiotic
smeE,1.5,0.0,24.0,0.17573433564422514,0.36774036903328594,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic
tet(G),1.0,0.0,24.0,0.17573433564422514,0.36774036903328594,tetracycline antibiotic
smeD,0.8333333333333334,0.0,24.0,0.17573433564422514,0.36774036903328594,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic
tet(A),1.0,0.0,24.0,0.17573433564422514,0.36774036903328594,tetracycline antibiotic
arnA,0.0,0.5,12.0,0.17573433564422514,0.36774036903328594,peptide antibiotic
AAC(6')-Ib7,1.5,0.0,24.0,0.17573433564422514,0.36774036903328594,aminoglycoside antibiotic
amrB,0.0,3.8333333333333335,12.0,0.17573433564422514,0.36774036903328594,macrolide antibiotic; aminoglycoside antibiotic
vanR gene in vanI cluster,0.8333333333333334,0.0,24.0,0.17573433564422514,0.36774036903328594,glycopeptide antibiotic
dfrL,0.5,0.0,24.0,0.17573433564422514,0.36774036903328594,aminoglycoside antibiotic; tetracycline antibiotic; diaminopyrimidine antibiotic
floR,1.1666666666666667,0.0,24.0,0.17573433564422514,0.36774036903328594,phenicol antibiotic
TriC,0.0,1.3333333333333333,12.0,0.17573433564422514,0.36774036903328594,disinfecting agents and antiseptics
smeB,0.0,2.1666666666666665,12.0,0.17573433564422514,0.36774036903328594,aminoglycoside antibiotic; cephalosporin; penicillin beta-lactam
MexI,0.0,1.6666666666666667,12.0,0.17573433564422514,0.36774036903328594,fluoroquinolone antibiotic; disinfecting agents and antiseptics
EreD,1.3333333333333333,0.0,24.0,0.17573433564422514,0.36774036903328594,macrolide antibiotic
ErmT,2.0,0.0,24.0,0.17573433564422514,0.36774036903328594,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic
vga(E) Staphylococcus cohnii,1.1666666666666667,0.0,24.0,0.17573433564422514,0.36774036903328594,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic
tet(W/32/O),0.8333333333333334,0.0,24.0,0.17573433564422514,0.36774036903328594,tetracycline antibiotic
AAC(6')-Im,0.5,0.0,24.0,0.17573433564422514,0.36774036903328594,aminoglycoside antibiotic
AAC(3)-IVa,0.6666666666666666,0.0,24.0,0.17573433564422514,0.36774036903328594,aminoglycoside antibiotic
tet(32),0.6666666666666666,0.0,24.0,0.17573433564422514,0.36774036903328594,tetracycline antibiotic
Mef(En2),1.1666666666666667,0.0,24.0,0.17573433564422514,0.36774036903328594,macrolide antibiotic; lincosamide antibiotic
lsaC,0.5,0.0,24.0,0.17573433564422514,0.36774036903328594,lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic
tet(X3),0.5,0.0,24.0,0.17573433564422514,0.36774036903328594,glycylcycline; tetracycline antibiotic
novA,0.0,3.1666666666666665,12.0,0.17573433564422514,0.36774036903328594,aminocoumarin antibiotic
poxtA,1.6666666666666667,0.0,24.0,0.17573433564422514,0.36774036903328594,tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic
MexF,0.16666666666666666,4.833333333333333,10.5,0.18228717573889341,0.3779532267613754,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic
MexK,1.1666666666666667,3.0,12.0,0.3260575215451097,0.4175909963267885,macrolide antibiotic; tetracycline antibiotic
ADC-202,0.0,0.3333333333333333,15.0,0.40465676192728617,0.4175909963267885,cephalosporin
amrA,0.0,0.6666666666666666,15.0,0.40465676192728617,0.4175909963267885,macrolide antibiotic; aminoglycoside antibiotic
Nocardia farcinica rox,0.0,1.0,15.0,0.40465676192728617,0.4175909963267885,rifamycin antibiotic
AcrF,0.0,0.6666666666666666,15.0,0.40465676192728617,0.4175909963267885,fluoroquinolone antibiotic; cephalosporin; penicillin beta-lactam
ACT-53,0.0,0.3333333333333333,15.0,0.40465676192728617,0.4175909963267885,carbapenem; cephalosporin; penicillin beta-lactam
Streptomyces lividans cmlR,0.0,0.16666666666666666,15.0,0.40465676192728617,0.4175909963267885,phenicol antibiotic
AxyY,0.0,0.8333333333333334,15.0,0.40465676192728617,0.4175909963267885,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin
Pseudomonas aeruginosa CpxR,0.0,0.6666666666666666,15.0,0.40465676192728617,0.4175909963267885,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic
AAC(3)-VIIIa,0.0,0.16666666666666666,15.0,0.40465676192728617,0.4175909963267885,aminoglycoside antibiotic
tlrC,0.0,2.6666666666666665,15.0,0.40465676192728617,0.4175909963267885,macrolide antibiotic; lincosamide antibiotic
gimA,0.0,0.6666666666666666,15.0,0.40465676192728617,0.4175909963267885,macrolide antibiotic
BCL-1,0.0,0.3333333333333333,15.0,0.40465676192728617,0.4175909963267885,penicillin beta-lactam
ALG11-1,0.0,0.16666666666666666,15.0,0.40465676192728617,0.4175909963267885,carbapenem
H-NS,0.0,0.16666666666666666,15.0,0.40465676192728617,0.4175909963267885,macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; penicillin beta-lactam; tetracycline antibiotic
ParS,0.0,0.3333333333333333,15.0,0.40465676192728617,0.4175909963267885,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics
PEN-A10,0.0,0.5,15.0,0.40465676192728617,0.4175909963267885,penicillin beta-lactam
arr-1,0.0,0.3333333333333333,15.0,0.40465676192728617,0.4175909963267885,rifamycin antibiotic
DHT2-1,0.0,0.3333333333333333,15.0,0.40465676192728617,0.4175909963267885,carbapenem
tva(A),0.6666666666666666,0.0,21.0,0.40465676192728617,0.4175909963267885,pleuromutilin antibiotic
putative nickel/cobalt transporter,0.0,0.16666666666666666,15.0,0.40465676192728617,0.4175909963267885,fluoroquinolone antibiotic; aminoglycoside antibiotic; isoniazid-like antibiotic
APH(6)-Ia,0.0,0.3333333333333333,15.0,0.40465676192728617,0.4175909963267885,aminoglycoside antibiotic
oleC,0.0,6.666666666666667,15.0,0.40465676192728617,0.4175909963267885,macrolide antibiotic
oqxB,0.0,0.5,15.0,0.40465676192728617,0.4175909963267885,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic
AAC(6')-It,0.16666666666666666,0.0,21.0,0.40465676192728617,0.4175909963267885,aminoglycoside antibiotic
mef(H),0.16666666666666666,0.0,21.0,0.40465676192728617,0.4175909963267885,macrolide antibiotic
mphO,0.6666666666666666,0.0,21.0,0.40465676192728617,0.4175909963267885,macrolide antibiotic
OXA-300,0.16666666666666666,0.0,21.0,0.40465676192728617,0.4175909963267885,carbapenem; penicillin beta-lactam
aadA27,0.3333333333333333,0.0,21.0,0.40465676192728617,0.4175909963267885,aminoglycoside antibiotic
cdeA,0.16666666666666666,0.0,21.0,0.40465676192728617,0.4175909963267885,fluoroquinolone antibiotic; disinfecting agents and antiseptics
erm(56),0.3333333333333333,0.0,21.0,0.40465676192728617,0.4175909963267885,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic
vanS gene in vanA cluster,0.16666666666666666,0.0,21.0,0.40465676192728617,0.4175909963267885,glycopeptide antibiotic
YajC,0.3333333333333333,0.0,21.0,0.40465676192728617,0.4175909963267885,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; oxazolidinone antibiotic; glycopeptide antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics
fexA,0.3333333333333333,0.0,21.0,0.40465676192728617,0.4175909963267885,phenicol antibiotic
spd,0.3333333333333333,0.0,21.0,0.40465676192728617,0.4175909963267885,aminoglycoside antibiotic
iri,0.0,0.16666666666666666,15.0,0.40465676192728617,0.4175909963267885,rifamycin antibiotic
AAC(3)-IIIb,0.0,0.3333333333333333,15.0,0.40465676192728617,0.4175909963267885,aminoglycoside antibiotic
mexN,0.0,0.6666666666666666,15.0,0.40465676192728617,0.4175909963267885,phenicol antibiotic
smeR,0.0,1.1666666666666667,15.0,0.40465676192728617,0.4175909963267885,aminoglycoside antibiotic; cephalosporin; penicillin beta-lactam
rgt1438,0.0,0.5,15.0,0.40465676192728617,0.4175909963267885,rifamycin antibiotic
MexB,0.0,0.5,15.0,0.40465676192728617,0.4175909963267885,
ALG6-1,0.0,0.3333333333333333,15.0,0.40465676192728617,0.4175909963267885,carbapenem
PEN-A1,0.0,0.3333333333333333,15.0,0.40465676192728617,0.4175909963267885,penicillin beta-lactam
CARB-8,0.16666666666666666,0.0,21.0,0.40465676192728617,0.4175909963267885,penicillin beta-lactam
mexX,0.0,0.5,15.0,0.40465676192728617,0.4175909963267885,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics
OXA-670,0.16666666666666666,0.0,21.0,0.40465676192728617,0.4175909963267885,carbapenem; penicillin beta-lactam
PEDO-2,0.16666666666666666,0.0,21.0,0.40465676192728617,0.4175909963267885,carbapenem
OXA-276,0.16666666666666666,0.0,21.0,0.40465676192728617,0.4175909963267885,carbapenem; penicillin beta-lactam
vanO,0.0,0.5,15.0,0.40465676192728617,0.4175909963267885,glycopeptide antibiotic
BJP-1,0.0,0.5,15.0,0.40465676192728617,0.4175909963267885,carbapenem
rphB,0.0,0.5,15.0,0.40465676192728617,0.4175909963267885,rifamycin antibiotic
aadA7,0.16666666666666666,0.0,21.0,0.40465676192728617,0.4175909963267885,aminoglycoside antibiotic
CepA-44,0.16666666666666666,0.0,21.0,0.40465676192728617,0.4175909963267885,cephalosporin
APH(2'')-IIa,0.6666666666666666,0.0,21.0,0.40465676192728617,0.4175909963267885,aminoglycoside antibiotic
BMHC-1,0.16666666666666666,0.0,21.0,0.40465676192728617,0.4175909963267885,carbapenem
mef(C),0.3333333333333333,0.0,21.0,0.40465676192728617,0.4175909963267885,macrolide antibiotic; tetracycline antibiotic
mfpA,0.3333333333333333,0.0,21.0,0.40465676192728617,0.4175909963267885,fluoroquinolone antibiotic
AAC(6')-Ie-APH(2'')-Ia bifunctional protein,0.3333333333333333,0.0,21.0,0.40465676192728617,0.4175909963267885,aminoglycoside antibiotic
ADC-19,0.16666666666666666,0.0,21.0,0.40465676192728617,0.4175909963267885,cephalosporin
efpA,0.16666666666666666,0.0,21.0,0.40465676192728617,0.4175909963267885,rifamycin antibiotic; isoniazid-like antibiotic
OXA-114s,0.3333333333333333,0.0,21.0,0.40465676192728617,0.4175909963267885,penicillin beta-lactam
