gene,manure_mean,soil_mean,U_stat,p_value,p_adj_fdr,drug_class
APH(3'')-Ib,4.5,0.0,36.0,0.002268131888297655,0.027301095864451334,aminoglycoside antibiotic
aadS,4.333333333333333,0.0,36.0,0.002671274611601154,0.027301095864451334,aminoglycoside antibiotic
mef(B),5.0,0.0,36.0,0.002671274611601154,0.027301095864451334,macrolide antibiotic
ceoB,0.0,12.333333333333334,0.0,0.0027245317909194047,0.027301095864451334,fluoroquinolone antibiotic; aminoglycoside antibiotic
ErmF,7.0,0.0,36.0,0.0027245317909194047,0.027301095864451334,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic
EstT,31.833333333333332,0.0,36.0,0.0027245317909194047,0.027301095864451334,macrolide antibiotic
vanR gene in vanO cluster,0.0,14.5,0.0,0.0027245317909194047,0.027301095864451334,glycopeptide antibiotic
rphA,0.0,14.166666666666666,0.0,0.0027245317909194047,0.027301095864451334,rifamycin antibiotic
tet(36),66.66666666666667,0.0,36.0,0.0027245317909194047,0.027301095864451334,tetracycline antibiotic
LnuH,15.5,0.0,36.0,0.00277843011009903,0.027301095864451334,lincosamide antibiotic
lnuG,14.166666666666666,0.0,36.0,0.00277843011009903,0.027301095864451334,lincosamide antibiotic
lnuA,8.5,0.0,36.0,0.00277843011009903,0.027301095864451334,lincosamide antibiotic
mel,13.833333333333334,0.0,36.0,0.00277843011009903,0.027301095864451334,macrolide antibiotic; streptogramin antibiotic
lnuB,25.0,0.0,36.0,0.00277843011009903,0.027301095864451334,lincosamide antibiotic
ANT(6)-Ia,17.333333333333332,0.0,36.0,0.00277843011009903,0.027301095864451334,aminoglycoside antibiotic
HelR,0.0,17.166666666666668,0.0,0.00277843011009903,0.027301095864451334,rifamycin antibiotic
tet(T),103.83333333333333,0.0,36.0,0.00277843011009903,0.027301095864451334,tetracycline antibiotic
tet(44),32.333333333333336,0.0,36.0,0.00277843011009903,0.027301095864451334,tetracycline antibiotic
lsaE,34.833333333333336,0.0,36.0,0.00277843011009903,0.027301095864451334,lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic
tet(Q),48.333333333333336,0.0,36.0,0.00277843011009903,0.027301095864451334,tetracycline antibiotic
tet(M),147.5,0.0,36.0,0.00277843011009903,0.027301095864451334,tetracycline antibiotic
tet(W),25.833333333333332,0.0,36.0,0.00277843011009903,0.027301095864451334,tetracycline antibiotic
sul2,9.166666666666666,0.0,36.0,0.00277843011009903,0.027301095864451334,sulfonamide antibiotic
